names on page 1,links on page 1,descriptions on page 1
"
Ноутбук Asus X515J Intel Core i3-1005G1 8GB DDR4 128GB SSD DOS Slate Grey
",https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-3-15igl05-intel-celeron-n4120-4gb-ddr-120gb-ssd-intel-uhd-graphics-600-hd-seryy,"        Операционная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Intel Graphics; экран 15.6"" UWVA 1366x768; оперативная память 8 GB DDR4; накопитель SSD 128 GB; DVDRW нет; вес от...            "
"
Ноутбук Lenovo ThinkPad X1 Yoga Gen 5 Intel Core i7-10610U 16GB DDR3 512GB SSD Intel UHD Graphics 620 WQHD серый
",https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-3-15igl05-intel-celeron-n4120-4gb-ddr-120gb-ssd-intel-uhd-graphics-600-hd-seryy,        Тип: ноутбук; Процессор: Intel Core i7-10610U; Разрешение экрана: 2560x1440 WQHD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 16 Gb DDR3; Объем накопителя SSD: 512 Gb; Вес: от 1.36 кг            
"
Ноутбук Asus X515J Intel Core i3-1005G1 12GB DDR4 128GB SSD DOS Slate Grey
",https://www.kivano.kg/product/view/noutbuk-dell-g5-5500-3dk9m-intel-core-i5-10300h-8gb-ddr4-256gb-ssd-nvidia-gtx1650ti-fhd-w10-interstellar-dark,"        Операционная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Intel Graphics; экран 15.6"" UWVA 1366x768; оперативная память 12 GB DDR4; накопитель SSD 128 GB; DVDRW нет; вес от...            "
"
Ноутбук Lenovo ThinkPad X1 Yoga Gen 5 Intel Core i5-10210U 8GB DDR3 256GB SSD Intel UHD Graphics 620 FHD серый
",https://www.kivano.kg/product/view/noutbuk-dell-g5-5500-3dk9m-intel-core-i5-10300h-8gb-ddr4-256gb-ssd-nvidia-gtx1650ti-fhd-w10-interstellar-dark,        Тип: ноутбук; Процессор: Intel Core i5-10210U; Разрешение экрана: 1920x1080 FHD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 8 Gb DDR3; Объем накопителя SSD: 256 Gb; Вес: от 1.36 кг            
"
Ноутбук Asus X515J Intel Core i3-1005G1 20GB DDR4 128GB SSD DOS Slate Grey
",https://www.kivano.kg/product/view/noutbuk-dell-latitude-14-5410-intel-core-i5-10210u-8gb-ddr4-512gb-ssd-w10-silver,"        Операционная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Intel Graphics; экран 15.6"" UWVA 1366x768; оперативная память 20 GB DDR4; накопитель SSD 128 GB; DVDRW нет; вес от...            "
"
Ноутбук Asus X515J Intel Core i3-1005G1 4GB DDR4 256GB SSD DOS Slate Grey + Windows 10
",https://www.kivano.kg/product/view/noutbuk-dell-latitude-14-5410-intel-core-i5-10210u-8gb-ddr4-512gb-ssd-w10-silver,"        Операционная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Intel Graphics; экран 15.6"" UWVA 1366x768; оперативная память 4 GB DDR4; накопитель SSD 256 GB; DVDRW нет; вес от...            "
"
Ноутбук Acer Aspire 3 A315-56-35XE Intel Core i3-1005G1 4GB DDR4 1000GB HDD Intel UHD Graphics HD черная
",https://www.kivano.kg/product/view/noutbuk-asus-x515j-intel-core-i3-1005g1-4gb-ddr4-128gb-ssd-dos-slate-grey,        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-1005G1; Разрешение экрана: 1366x768 HD; Графический контроллер: Intel UHD Graphics; Объем оперативной памяти: 4Gb DDR4; Объем накопителя HDD: 1000 Gb; Вес: от 1.9 кг            
"
Ноутбук Asus X515J Intel Core i3-1005G1 8GB DDR4 256GB SSD DOS Slate Grey + Windows 10
",https://www.kivano.kg/product/view/noutbuk-asus-x515j-intel-core-i3-1005g1-4gb-ddr4-128gb-ssd-dos-slate-grey,"        Операционная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Intel Graphics; экран 15.6"" UWVA 1366x768; оперативная память 8 GB DDR4; накопитель SSD 256 GB; DVDRW нет; вес от...            "
"
Ноутбук Asus VivoBook S551LA-CJ111H 4Gb DDR3 750Gb HDD + 24Gb SSD
",https://www.kivano.kg/product/view/noutbuk-asus-x515j-intel-core-i3-1005g1-8gb-ddr4-128gb-ssd-dos-slate-grey,"        Операционная система Windows 8.1; процессор Intel Core i5 1600 MHz (2/4); видеоадаптер Intel Graphics; диагональ экрана 15.6"" TN 1366x768; оперативная память 4 GB DDR3L; накопитель SSD 24 GB + HDD...            "
"
Ноутбук HP 14-cf3009ur Intel Core i5-1035G1 8GB DDR4 256GB SSD AMD Radeon 620 2GB FHD черный
",https://www.kivano.kg/product/view/noutbuk-asus-x515j-intel-core-i3-1005g1-8gb-ddr4-128gb-ssd-dos-slate-grey,        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-1035G1; Разрешение экрана: 1920x1020 Full HD; Графический контроллер: AMD Radeon 620; Объем оперативной памяти: 8Gb DDR4; Объем накопителя SSD: 256 Gb; Вес: от 1.5 кг            
"
Ноутбук Asus X515J Intel Core i3-1005G1 12GB DDR4 256GB SSD DOS Slate Grey + Windows 10
",https://www.kivano.kg/product/view/noutbuk-lenovo-thinkpad-x1-yoga-gen-5-intel-core-i7-10610u-16gb-ddr3-512gb-ssd-intel-uhd-graphics-620-wqhd-seryy,"        Операционная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Intel Graphics; экран 15.6"" UWVA 1366x768; оперативная память 12 GB DDR4; накопитель SSD 256 GB; DVDRW нет; вес от...            "
"
Ноутбук MSI GF63 Intel Core i5-9300H 8GB DDR4 256GB SSD Nvidia GTX 1650Ti 4GB FHD черный
",https://www.kivano.kg/product/view/noutbuk-lenovo-thinkpad-x1-yoga-gen-5-intel-core-i7-10610u-16gb-ddr3-512gb-ssd-intel-uhd-graphics-620-wqhd-seryy,        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-9300H; Разрешение экрана: 1920x1020 Full HD; Графический контроллер: Nvidia GTX 1650Ti ;Объем оперативной памяти: 8Gb DDR4; Объем накопителя SSD: 256 Gb; Вес: от 1.86 кг            
names on page 3,links on page 3,descriptions on page 3
"
Ноутбук Asus X515J Intel Core i3-1005G1 20GB DDR4 256GB SSD DOS Slate Grey + Windows 10
",https://www.kivano.kg/product/view/noutbuk-asus-x515j-intel-core-i3-1005g1-20gb-ddr4-256gb-ssd-dos-slate-grey-windows-10,"        Операционная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Intel Graphics; экран 15.6"" UWVA 1366x768; оперативная память 20 GB DDR4; накопитель SSD 256 GB; DVDRW нет; вес от...            "
"
Ноутбук Asus X515J Intel Core i3-1005G1 4GB DDR4 512GB SSD DOS Slate Grey
",https://www.kivano.kg/product/view/noutbuk-asus-x515j-intel-core-i3-1005g1-20gb-ddr4-256gb-ssd-dos-slate-grey-windows-10,"        Операционная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Intel Graphics; экран 15.6"" UWVA 1366x768; оперативная память 4 GB DDR4; накопитель SSD 512 GB; DVDRW нет; вес от...            "
"
Ноутбук HP ProBook 440 G7 9HP63EA#ACB Intel Core i5-10210U 8GB DDR4 256GB SSD Intel UHD Graphics 620 FHD серебристый
",https://www.kivano.kg/product/view/noutbuk-asus-x515j-intel-core-i3-1005g1-4gb-ddr4-512gb-ssd-dos-slate-grey,        Тип: ноутбук; Процессор: Intel Core i5-10210U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 8Gb DDR4; Объем накопителя SSD: 256 Gb; Вес: 1.6 кг            
"
Ноутбук Asus X515J Intel Core i3-1005G1 8GB DDR4 512GB SSD DOS Slate Grey
",https://www.kivano.kg/product/view/noutbuk-asus-x515j-intel-core-i3-1005g1-4gb-ddr4-512gb-ssd-dos-slate-grey,"        Операционная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Intel Graphics; экран 15.6"" UWVA 1366x768; оперативная память 8 GB DDR4; накопитель SSD 512 GB; DVDRW нет; вес от...            "
